,description
1294,"Triple mint modern loft. Key locked private elevator, heated floors throughout, AV system, all amenities, chef kitchen, steam shower, mood lighting, 27"" mac for guest use, curated artwork, more Brand new renovated loft with no detail overlooked. Luxury is the absence of even the most minor discomfort...wait to experience it. I will personally meet you to assure that your arrival and check in goes smoothly. Soho is one of the most chic neighborhoods in Manhattan. Steps from Balthazar, the Crosby Hotel, Mercer Hotel, shops and other restaurants. Subways, Uber and mostly walking while people watching."
1596,"Nice to meet you on the Air BnB :) I am living in NYC with my husband and my baby. Sometimes, I'm giving my flat for someone staying. Because of our travel. I travel a lot with my daughter and husband. I can't wait to meet you! This Studio is renovated and spacious on the 2nd floor. If you want to be within walking distance to Times Square and Subway this is the spot. Amazing location!! too much restaurants, Bars, supermarkets, in a great neighbor. Anytime bright street. Everyday I walk anytime with very safety area. I hope you enjoying with my studio. Thank you"
1794,"Great 2 bedrooms apartment in the best location of New York city, in the heart of Chelsea, near Flatiron, Chelsea market, High line, Penn Station... 6 trains (C, E, F, M, 1, 2) - within 5 minutes ! Amazing private rooftop in 2 parts (lounge and bbq/dining place) Many restaurants, bars and shops nearby. Hope to see you soon in NYC !"
1914,"In the HEART of Manhattan - steps away from world-famous theaters, stores & restaurants Water & City views (every room) + balcony - 24/7 Doorman & security Health club, pool, garage, concierge, valet services, rooftop sundeck, theater, laundry A HUGE NYC apartment - over 1700 sq ft! DOUBLE the size of other listed 2 bedroom NYC apartments And not 1 but 2 full bathrooms for you and your quests!! Full access to ALL Ritz-Plaza amenities - Health Club, Pool, Gym, Rooftop & Lounge I will be onsite to assist with any questions you may have when you arrive and available via cellphone if you need anything during your stay. Excellent bus service is nearby; subway stations are only two blocks away. Surrounded by the city's Theater District and world-class restaurants. Mid-block location affords many excellent views and adds peace & quiet to Times Square location."
2251,"Enjoy your own private home with 2 bathrooms in a vibrant nighborhood in the heart of NYC. The location is unbeatable and I guarantee you will want to come back. Restaurants, shops, parks, sightseeing all steps away. Subway 1 block away. CHELSEA I provide towels, linens and fast WIFI. You don't need to worry about anything. Your only concern should be which delicious restaurant to pick for dinner :) Included: -High-speed internet and Fast WIFI*** -Cable -Laundry -Fully Stocked Kitchen (great for cooking) -Basic cooking supplies -Linens and Towels -Pack-n-play crib -Extra air mattress -Hairdryer -Iron -A clean home to relax and enjoy your vacation -A work-friendly space to catch up on work while on vacation and more... If there is something you don't see listed here please message us with questions and we will do what we can to provide and accommodate any and all needs."
2263,"This is the house you want to make your home during your stay in NY! Located on the beautiful Upper East Side, in the heart of Central Park this house offers stunning charm with 3,000 sq.ft. of interior living space. A 700 sq ft garden terrace through double doors is perfect for small or large scaleentertaining. The 3rd floor features 1 master suite, with full bath. The 4th floor has 2 additional large bedrooms, a full bath. + an extra room in the nice veranda terrace."
2291,"Light, airy, clean, comfort and convenience... Everything you're looking for on the perfect NYC vacation! Duplex. Very spacious living and dining room. Big bedrooms for NYC standards. Entire apartment and the private terrace during daylight hours only. Whatever you need, I am here for you. Chelsea is vibrant and exciting, one of the most desirable neighborhoods to stay in. Socialites, trendsetters, and trailblazers have carved out this section of West Manhattan. Some of the city’s hottest restaurants and bars with the latest hours live in Chelsea. 6th Ave is the main artery of Chelsea, so you’ll be reliant on the B,D,F, or M trains. But Chelsea also extends West toward 8th Ave, so you can easily take the A,C,E wherever you need to go. No smoking, no excessive noise and no parties"
2553,"High end renovated 3BR/2Bath corner loft with picture perfect Manhattan and river views. soaring 20' ceilings and walls of window NW exp New chef's kitchen w/lg island, most exquisite bathrooms and master bedroom. Elevator low key condo building in Prime w'burg location. A loft with a heft. Our home is almost 3,000 sqft with 20' ceilings, Modern Architectural details throughout, while maintaining the original character of the warehouse; concrete floors, exposed brick walls. The loft has been renovated a year ago with high end fixtures and appliances. It's a smart home with control of all lights from your cell. New high capacity Bosch W/D (separate laundry room) and D/W, Gaggenau refrigerator, Wolf oven. A true gem for the discerning traveler. Photos don't include our two girl's bedroom one with double bed the other with full size bed that can pull into a queen. Full access to the entire space, except from the upper level walk in closet. a secondary but large closet will be available."
2628,"Newly renovated, this prime Soho duplex loft has a double-height (20ft) living room, exposed brick, working fireplace and features top of the line appliances (Sub-Zero, Miele), fixtures (LefroyBrooks, Lindsey Adelman) and furnishings (B&B Italia). Dramatic multi-million dollar home featuring open layout with double-height 20 foot ceilings and windows. 1200 sq ft duplex featuring 1 master bedroom, guest mezzanine / home office, and 1.5 baths. Renovated kitchen w/ Sub-Zero, Miele, Bosch, and Gaggenau appliances. Wall of exposed brick, working fireplace, and maple wood plank flooring. Custom walnut bar area with wine & beverages fridges and wine storage. Full height upper floor features a bedroom and accompanying large bathroom connected to an enclosed home office /2nd bedroom mezzanine area. The master has a queen sized bed, the mezzanine/loft has a twin. Sleek Apartment just underwent a gut renovation, and features top of the line furnishings and fixtures. Lighting by Lindsey Adelm"
2672,"Looking for a tastefully appointed duplex with all modern conveniences, located in a neighborhood that manages to strike a perfect balance between fashionably hip and accessibly local? Welcome to Scholesville - an apartment and a state of mind. This first-floor duplex features free WiFi, central heat/AC, two full bathrooms, three bedrooms, two living rooms, two entrances, a generous eat-in kitchen, and a handsomely furnished, partially-covered patio. Minimum stay is three nights, please. Guests will have free reign of the space, with the exception of our closets, which are private. Consider Scholesville your home-away-from-home this Super Bowl weekend! Rest easy and dream of victory while the three of us stay out of your hair. Minutes from Manhattan via the L train, and one hour from MetLife Stadium via public transportation. For drivers, we are just off the BQE/I-287, which will take you to Meadowlands in a jiff."
2965,"Huge Apt in the heart of Manhattan with 1.5 Baths DUPLEX with 2 bedrooms upstairs, full bath, kitchen, living room and dining room. 3rd HUGE bedroom is downstairs with two queens beds and 2nd bathroom Enjoy the most HIP and centralized neighborhood in NYC in a CHIC and well decorated DUPLEX in CENTRAL MANHATTAN Close to everything you may want to do NYC: the best restaurants, parks, shopping, and nightlife. Perfect for a family getaway, friend reunion, or work retreat. Satisfaction guaranteed. THIS IS A 3 BEDROOM APARTMENT WITH 6 BEDS FOR SLEEPING. Comfortably accommodates 12 guests. Included: -High-speed internet and Fast WIFI*** -Cable -Laundry -Stocked Kitchen (great for cooking) -Basic cooking supplies -Linens and Towels -Pack-n-play crib -Extra air mattress -Hairdryer -Iron -A clean home to relax and enjoy your vacation -A work-friendly space to catch up on work while on vacation and more... If there is something you don't see listed here please message us with questions and"
3056,7 Day/6 Night stay in a fully furnished 2 bedroom apartment for Super Bowl weekend. 5 blocks away from the 6 train. 5 blocks away from the Midtown Tunnel
3166,"Stunning townhouse in Park Slope. A rare opportunity to stay at a beautiful furnished Park Slope brownstone on a quiet, tree lined block. The substantial 2,700 square foot home comprises four bedrooms, two baths and kitchen. With 12' ceilings on parlor floor and southern exposure in the living room and French doors in the back, the parlor floor is drenched in light. The generous open kitchen/dining room area overlooks an outdoor terrace. Historic charm & character with central AC sleeps 10. The upper floors each have two large bedrooms, including a third-floor master bedroom with walk-in closet and adjacent bath overlooking the garden. Master bedroom has a very comfortable King and second and third bedrooms have queen beds. The fourth bedroom has a bunk bed, trundle and a single sleeping 4 in total for this room, making 10 in total for the house. The fireplaces in this home are ornamental. This is the upper triplex of the brownstone whereas the garden level is a separate listing. The"
3242,"This isn't a real listing. The only thing real about it is the part where it says that it's not real. It's not real. Designed by a someone who knows better than to say they're a Harvard-educated architect, this stay will meet your needs! The idea is to give you some kind of [insert adjective here] experience while feeling even more ripped off than the suckers who attended FYRE fest. Every day, you will be greeted with a delicious, freshly baked cupcake from Georgetown Cupcakes (unless I was too lazy to get there in time for the free daily cupcake), a Kiehl's gift bag (this part is a straight up lie), an unlimited Metrocard (that is expired), and other surprises catered to you, and you only! There will be a stocked fridge/freezer and pantry for you to cook any meal that I know how to cook. Spoiler alert: I don't know how to cook. While you are out, your quarters will be cleaned*, and I'll replace your cupcake every day. Maybe. This is a private room in a 3-bedroom apartment. The roomm"
3269,"Enormous 3 large bed/3 full bath, 3 floors sun-filled loft located in the heart of Williamsburg (1 block from Bedford Ave L train stop). The triplex loft is surrounded by unique artworks, large windows, high ceilings, 2 private entrances and hardwood floors. A COMFY AND SUPER CLEAN LOFT has 3 full bathrooms, 1 master bedroom with king size bed and 2 large bedrooms with queen beds + 1 sofa bed The huge living room also has a queen size sofa bed! Anything you need, please email me and I'll make it happen! We try to make it easy and convenient for our guests to check in and check out whenever they need to. This means we generally don't see our guests to give you privacy, although we are usually around if you need us and are always accessible by email or phone. Williamsburg has the coolest bars and restaurants in this city. Whether you're a foodie, want to sit in a garden restaurant, like a great cocktail or just want to kick back with a beer, we are surrounded by the best restaurants in t"
3380,"This apartment is located on the ground floor making it easy to get out and explore the neighborhood. Nestled between Amsterdam and Columbus Avenues, there are so many restaurants, cafes, and bars to choose from within walking distance. For classic NYC activities, Central Park, Riverside Park, and the Museum of Natural History are all within a block or two. Back at the apartment, there is a huge private patio to enjoy and relax after a day of sightseeing. It is a duplex space on the ground floor. There is a spiral staircase that leads down into the finished basement Private patio outside the ground floor. But there is a strictly enforced no noise policy outside after 10pm. No additional guests or music allowed whatsoever from 10pm. Washer and Dryers in the basement. The local 1 train located at 79th and Broadway (The express 2/3 trains at 72nd and Broadway). The B and C trains located at 81st and Columbus Avenue."
3393,"The real NYC experience. 6 bedrooms, 2 bathrooms and private backyard ideal for big groups. Experience the real NYC feeling in this brownstone located in the corner of W broadway / Grand Street, one of the most fancy and coolest area of SOHO, Manhattan. The space is distributed in 2 apartments at floor 3 and 4 in a private building made out of only 3 units. A private backyard is available at third floor where you can enjoy fresh air in a typical SOHO environment. The 2 apartments can host large groups up to 12 people. About the surroundings, this is the pulsing hearth of SOHO, art galleries, restaurants, bars, everything is available at a walking distance. More in details below. 3rd FLOOR LIVING ROOM 3 sits couch, armchair, coffee table, 2 plants, cable TV. 3rd FLOOR KITCHEN dishwasher, full gas & haven, blender, toaster, Nespresso machine, ground coffee machine, fridge & freezer, fully accessorized, dining table, 4 chairs 3rd FLOOR BATHROOM full bathroom with large shower PRIVATE BAC"
3401,"This incredible 2000 square foot condominium residence, with private outdoor space, has breathtaking panoramas of the cityscape, rivers, bridges and beyond. The absolute highest end building in NYC. The spectacular apartment is beautifully proportioned with soaring 12-ft ceilings and floor-to-ceiling windows. Featuring breathtaking views of the Lower Manhattan skyline and Hudson River from the great room and massive adjoining terraces. Message for additional photos and details."
3541,"Come see your Denver Broncos or Seattle Seahawks play in the Superbowl and stay in our 2 bedroom,2 bath in the West Village apartment. Location is great for those who love downtown NYC. Minutes away from great restaurants and shopping -Large master bedroom included California King bed - Second bedroom is in the loft portion of the apartment and includes a King bed (bookcases line the balcony portion for additional privacy) -Two full bathrooms, one upstairs and downstairs. -Enjoy watching our 72"" TV on large L-shaped couch. Kitchen and dining table fit for 6 people. -A 5-10 minute walk to the 123/ACE subway - 15 minute subway/6-10 minute cab ride to Penn Station and Port Authority - Cable TV, Internet Access, Parking available in downstairs garage for $50/day"
3570,"Our place is a uniquely hand-crafted photo/video studio located in the up-and-coming arts district of Greenwood, Brooklyn. It is available for photo/video shoots, castings, production work, fashion shows, fittings, and small events. SORRY NO OVERNIGHT STAYS. The studio offers a 1000sq. ft. open loft space with an adjoining 750sq. ft. outdoor deck. A full list of photography gear is available for rent. We built the studio with comfort and creativity in mind. We want our guest to walk into a space where they immediately feel at home. Our guest have access to all of our furniture and studio props as well as wifi access, entertainment unit, microwave, coffee machine and refrigerator. We also offer strobe, hot light packages and grip gear for rent. There is always someone at the studio during your rental to help with any questions or additional request you may have. Less than 3 blocks from 36th Street N/R/D station."
3709,"This charming, 1911 building is the perfect location setting for interview shoots. The main living room has French doors (see photos) that extend the dimensions of the space to 36' x 20'. There are north facing windows along the 36' side. The neighborhood is quiet, minimizing city sound issues. In addition, the interior decoration contains simple, elegant antique furnishings, optimal for a wide diversity of backgrounds. This rate is for a straight 8 hour day. There is a charge of $195/hour beyond 8 hours of shooting in the apartment."
3836,"One bedroom for rent in a 3 bedroom clean and spacious apartment. share bathroom with one other roommate. full kitchen Spacious room Furnished room, dresser available for use. Queen size bed Utitilies ($100) (includes cable bill) TV in bedroom OnDemand, DVR, HBO,SHOW,CINE NO PETS! Email for pictures and to schedule a viewing/meet other roommates. cozy apartment in midtown plus cheap rent kitchen, living room, bathroom ACE trains a block away"
4398,"9th Ave btwn 30th and 31st. This apartment is complete with a HUGE 55x25 lit patio (and gas grill), a large eating area and living room. It boasts 10 ft high ceilings, mounted flatscreen tv, and more. 1st floor walk with easy access to Lincoln Tunnel Great location. 1 Avenue from Penn Station and A/C/E (2-3 minute walk). Chelsea and all of its restaurants/bars/amenities immediately to the South and Hells Kitchen/Time Square immediately to the north. Lock to the main apartment entrance and then a bolt lock to the front door Great location. Chelsea has awesome restaurants and bars. Hells Kitchen is a haven for great ethnic food and entertainment. West Village is a 15 minute walk or a short subway ride away and Tribeca is a couple subway stops away. A/C/E 1 avenue away. Penn station 1 avenue away. (2 minute walk)"
4416,"A immaculately maintained condo in the heart of soho walking distance to shops, restaurants and accessible to all public transportation. Beautiful light throughout with high ceilings and new building. Marble bathrooms, wood flooring and exceptional artwork. 24/7 doorman building allows for access anytime, outdoor courtyard and full gym available to guests. Outdoor courtyard, private gym, doorman services All areas are accessible although one closet is locked"
4557,"Unique Experience! designer luxury 3 beds/3 bath 2000 square feet loft in a heritage building in the heart of the exquisite NoMad neighborhood Manhattan, next the famous NoMad Hotel & the magical Madison Square Park and Empire State building. Enjoy the real Manhattan in the center of it all. The apartment is built with the very finest amenities in mind. Brand new renovation where you can control your own indoor climate (No longer are you roasted in winter and frozen in summer) with 3 proper sized bedrooms with the finest of linens and luxurious furniture to pamper you. Comparable to only the finest hotels in the city from every single room. Empire State building is the center of the world and this is how it's meant to be enjoyed. Two bedrooms has private bathroom. The entire apartment is available to you on the entire second floor walk-up building I'm happy to provide restaurant recommendations, local attractions, and any other advice I can offer. subway is on the same block of my ho"
4876,"2BD/2BA apt in new modern boutique building with doorman access and two terraces, access to 11 subway lines and a 5 min walk from the World Trade Center PATH, Brookfield Place/Battery Park and the historic Seaport. Sleeps up to 6 people 2 bedroom, 2 bathroom apartment ideal for Super Bowl week festivities located in a brand new modern boutique building with doorman access. Access to 12 subway lines and only a 5 minute walk from the World Trade Center PATH station for transportation to MetLife Stadium. The space is fully furnished and can easily sleep up to six people with two queen beds, and full convertible futon. •790 sq. ft. 2 bedroom, 2 bathroom apartment that benefits from split wings for added privacy and porcelain tiled bathroom floors; •Beautiful red oak hardwood floors throughout the apartment; •Kitchen features slab granite counter top and self-closing Italian cabinets and glass backsplashes; •Stainless steel appliances from Samsung and GE with full gas range; •Sparkling"
4882,"15 minutes to Manhattan, tucked away on a safe and tree-lined block in Brooklyn, this airy, sun-filled, brownstone shines with original details. Ideal for large groups, this duplex apartment sleeps 16+--with ample space for relaxing, cooking, watching movies, and easy access to local restaurants like Saraghina and coffee shops. With a view of the Empire State Building from the floor-to-ceiling windows, this is Brooklyn living at its best. My mission is to combine the warmth and charm of a home with the amenities you'd find at a hotel. With two flexible living/bed rooms, a full kitchen, a kitchenette, and two bathrooms, this duplex is a rarity in NYC. The 3rd floor features an oversized living room that can be a sitting room or a bedroom, with a large u-shaped sectional that converts to a king size bed. The 3rd floor living room has: 55"" inch smart TV with Netflix, Amazon fire, etc., a DVD player and DVDs, video games, books, magazines, puzzles, and board games. You'll also find a recor"
4981,"Hideaway. No doorman, 14 steps up to a James Bond lair. No one knows you’re there and no one ever will;it is the most intimate, most comfortable and most desired building in Brooklyn Heights. The views off the porch are exquisite and the safety is unparalleled in nyc."
5132,"This is a one of kind Gallery space the design allows your mind to explore all creative possiblities We tend to host Private functions Photo shoots Video shoots Theater productions Rehersals Meeting area Art Gallery pop-up shows Guest will have the access for creative purposes to majority of the space anything off limits we can tell you in person but we leave up to the imgination of the creator There will always be someone to assist with questions This venue is located in a warehouse district with tons of murals to explore 2 coffe shops within walking distance 3 resturants within walking distance 1 deli (corner store) within walking distance and we are surrounded by other studio spaces We are located right off the L train (Grand St Stop) 5min walk to the Gallery Space 2 bus lines Q59, Q54 the stop is less then 3 mins from the Gallery Doors This is not a sleeping venue we can only accomadate guest between the hours reserved typically we work in 8-12 hour booking times so pricing will r"
5326,"Welcome to the Harlem Getaway! This is a landmarked 1880s brownstone with every conceivable amenity and renovated to Architectural Digest standards. High ceilings and large rooms, truly a unique home away from home. It is in the landmarked Mount Morris Park section of trendy Harlem. Lots of space to gather with friends of family, yet plenty of privacy in the bedrooms. ""VERY IMPORTANT NOTE FOR VISITORS: Our property is a single family home. As such it is NOT subject to the new New York law. Elegant, huge Harlem, NYC mansion . Every conceivable amenity available including HD flat screen TV, elevator, garden (with dining and lounging furniture and gas grill. Gorgeous rooms, full designer kitchen access (GE Monogram appliances, farmhouse sink, quartz counters, copper ceilings), museum-quality furniture and artwork, fully air-conditioned and heated. Each of 5 bedrooms has its own elegant private bath with sink, toilet and shower and/or soaking tub. Billiards room, media room with huge f"
5342,"Open, oversized loft in the heart of Greenwich Village just steps from Washington Square Park and all of the major attractions. Public transportation is located on the block providing instant, easy access to anywhere in the city. Located in the rear of the building, the apartment is whisper quiet. High 13 foot ceilings with exposed bricks and beam, this is the quintessential New York dream loft. This is the same space as our old listing (see those reviews). Parking garage adjacent to building. West 4th (BDFV-ACE) subway hub 1/2 block away. 123 subway 3 blocks away. 456 NRW stops 5 minute walk away."
5506,"The Wyndham Midtown 45 is a serene, sophisticated oasis in the heart of midtown Manhattan. Located on 45th Street between 2nd and 3rd Avenues, Wyndham Midtown 45 is within walking distance of many of New York City’s major attractions and business centers. This space is situated close to Grand Central Terminal, 5th Ave (shopping!!!) and the New York Public Library. A perfect destination for couples, solo adventurers, big groups and families! Seamlessly merging serene surroundings with an enviable location in the heart of vibrant midtown Manhattan, our 2 Bedroom Presidential fully updated condo boasts boutique-style elegance and a premier address just steps from everything that this world-renowned city has to offer. Located in the epicenter of midtown Manhattan, you’ll experience express dry-cleaning, valet service, business center, fitness center and rooftop views of New York. A complimentary beverage station serving coffee, tea and fruit infused water is served throughout the day in"
5633,CONTACT HOST BELOW BEFORE RESERVATION.
6012,"Hello!! November (entire month) Subletting my super spacious and light FURNISHED bedroom in prime EAST VILLAGE/ Lower East Side 2 bed apartment. Right next to E Houston, so you've got the best of LES nightlife and EV bars & restaurants. Never, ever bored my friends. Washer & dryer. The apt has a bohemian feel to it, with oversized plants, art covering the walls and a fabulous mirrored- corridor. I love it here. No crazies please, this is a happy place ❤️"
6063,"A rustic and charming penthouse that's uniquely perched upon a historic pre-war building where Peter Stuyvesant planted his first Pear Tree in NYC. The main LR/DR space, flanked by 2 wood-burning fireplaces, has exposed brick walls and an open kitchen. A curved wooden staircase brings you to a sunny solarium BR with it's own working fireplace, and 2 attached private outdoor terraces, and outdoor fireplace. Luxury bath with large jacuzzi tub and steam shower room. A truly one-of-a-kind space. The area is right in the center of Downtown NYC, close to the Union Square subway hub, walking distance to East Village, Noho and Soho. I'm known as a hand-on host, (or hands-off if that's what the guest wants!) Always available by phone or text, and stays local 80% of the time. An assistant is also available for any requests or issues. Neighborhood has some of the best restaurants and bars in NYC within walking distance. Everyman Coffee across 3rd Ave, an award winning Pizza place (Bruno's)"
6140,"Enjoy this spectacular 3 Bedrooms 2 bathrooms +Balcony on a very high floor. located in the heart of Manhattan!!! (34th st/Empire st & Macys!) *Best Views & location in manhattan *Restaurants & Attractions downstairs *Walk to Empire St, Broadway, Macys, etc *Balcony overlooking the East River. *Beautyrest mattresses *High-end furnitures *Fully equipped kitchen *Fresh Linens and towels are provided *High speed internet and cable TV Soak in the splendid views of this luxury high floor beautiful apartment We tried to meet all of our guests in person. We'll show you the property, hand you the keys and even give you a few local recommendations. There are 4 different subway lines/stations that are an ultra short walk away. River taxi, busses are all right downstairs."
6169,
6390,"Welcome to the #1 premium home share in SoHo, NYC! Wake up steps from the best shopping, restaurants and day/night entertainment. This iconic pre-war charming loft features 2 bedrooms, 2 baths, chefs kitchen and living space. With over 2,500 sq. ft. of living space, natural light radiates through soaring ceilings, skylights and windows. High end finishes, furnishings and smart tech provide comfort and class throughout. Whether traveling for business or leisure, this is your place to stay! MY PRICES ARE FIRM DO NOT ASK FOR DISCOUNTS The flowing layout and generous closet space, blends with pre-war charm of beautiful hardwood floors and original exposed brick. Gut renovated 2500 Sq Ft loft with 14’ ceilings in former industrial building from 1860’s, designed by note architect Atilla Bagcilar. A perfect combination of modern amenities with the charm of SoHo’s Cast Iron District. Three industrial windows welcome natural light throughout the day. The kitchen features Cesar-Stone quartz cou"
6433,"Amazing loft on 5th ave, in the heart of nyc. best shopping, and restaurants steps away. I block from dozens of subway lines. High ceilings, gorgeous windows, and recently renovated throughout."
6540,"This Private Garden Master Suite is our new listing this year. It is so special and most beautiful suite with extra offers; w. a private garden, a peaceful sanctuary getaway in NYC. We situate in a very quiet block. Please note that the bedroom is open connecting to the bathroom area which has Water Fall Jacuzzi tub, and a shower glass stall. Shared space is on the parlour floor; a reception area, large living room & the kitchen which all house guests can share. This suite is perfect for a lucky couple for sleep-over, This is one of the most beautiful designed space ( bedroom & bathroom ). We recommend to book early with your sweet heart or for the entire private party of (Phone number hidden by Airbnb) people as well w. the total of 9 persons sleep over in 5 suites. We will be glad to help you plan your event smoothly; either choosing our recommended Photographer, Florist, Cater Musician(s)or yours etc. We usually would like to welcome guests and help checking in. If you flights arri"
6603,"4 bedroom, 2 full bath apartment, walking distance to Path (only way to get to the game). In Tribeca, easy access to restaurants, Soho shopping, etc. 4 bedrooms, fold flat futon, and sectional sofa. Has slept up to 9. Full kitchen"
6747,"Four bedrooms available in our fully renovated extremely large house, with temperature control in each room. Our home is nestled in a beautiful & vibrant neighborhood. This house should be more than accommodating for any group. GUARANTEED FRESH SHEETS & TOWELS!!! 2500 Sq Feet, Numerous Skylights, Chef's kitchen, Exposed Brick/Beems Keyless entry, 2 Flight walk up Assistance will be available upon request Sub-Urban living in the heart of DownTown Brooklyn while being within walking distance to New York City via The Brooklyn Bridge. Uber, G, C, Q, A Trains, 54 Bus, Yellow/Green Cab, additional cab number will be provided. 15 minute cab ride from LGA (Est -$30 US), 20 minute cab ride from JFK (Est -$40 US), 40 Minute Cab ride (Est -$65 US) walking distant to: Subway, LIRR, Atlantic terminal and Barclays Center, Fort Green Park, Citi-Bike directly outside, Starbucks, Banks, Supermarkets and Restaurants all within one block radius. Parking by request."
